,TTDDRUGID,LNM,Indication,ICD9,ICD10
334,DAP000323,cetirizine,Allergic rhinitis,"472.0, 477, 995.3","J00, J30, J31.0, T78.4"
335,DAP000324,hydroxyzine,Anxiety disorder,"300, 311","F32, F40-F42"
336,DAP000325,cinnarizine,Vertigo meniere's disease,"386.0, 438.85, 780.4","H81, H81.0, R42"
337,DAP000326,astemizole,Allergic rhinitis,"472.0, 477, 995.3","J00, J30, J31.0, T78.4"
338,DAP000327,propiomazine,Anxiety disorder,"300, 311","F32, F40-F42"
339,DAP000327,propiomazine,Insomnia,"307.41, 307.42, 327.0, 780.51, 780.52","F51.0, G47.0"
340,DAP000328,tripelennamine,Asthma,493,J45
341,DAP000329,ketotifen,Allergic conjunctivitis,"204.0, 372.0, 372.14, 995.3","C91.0, H10, H10.45, T78.4"
342,DAP000330,fexofenadine,Allergic rhinitis,"472.0, 477, 995.3","J00, J30, J31.0, T78.4"
343,DAP000331,desloratadine,Allergic rhinitis,"472.0, 477, 995.3","J00, J30, J31.0, T78.4"
344,DAP000332,azelastine,Allergic conjunctivitis,"204.0, 372.0, 372.14, 995.3","C91.0, H10, H10.45, T78.4"
345,DAP000333,dimenhydrinate,Nausea; Vomiting,"787, 787.0",R11
346,DAP000334,promethazine,Allergic disorders; Itching; Nausea and vomiting,"698, 787, 787.0, 995.3","L29, R11, T78.4"
347,DAP000335,levocabastine,Allergic conjunctivitis,"204.0, 372.0, 372.14, 995.3","C91.0, H10, H10.45, T78.4"
348,DAP000336,chlorpheniramine,Allergic rhinitis; Urticaria,"477, 708","J30, L50"
349,DAP000337,cyclizine,Nausea; Vomiting,"787, 787.0",R11
350,DAP000338,cimetidine,Acid-reflux disorders,530.81,K21
351,DAP000339,nizatidine,Acid-reflux disorders,530.81,K21
352,DAP000340,ranitidine,Peptic ulcer disease,531-534,K25-K27
353,DAP000341,famotidine,Peptic ulcer disease,531-534,K25-K27
354,DAP000342,trospium,Overactive bladder disorder,"188, 596.51","C67, N32.81"
355,DAP000342,trospium,Spasm,728.85,R25.2
356,DAP000343,scopolamine,Nausea; Addiction,"303-305, 787.0","F10-F19, R11"
357,DAP000344,tiotropium,Chronic obstructive pulmonary disease,"490-492, 494-496","J40-J44, J47"
358,DAP000345,tropicamide,Diagnosis of mydriasis,379.43,H57.0
359,DAP000346,metixene,Parkinson's disease,332,"F02.3, G20"
360,DAP000347,carbachol,Glaucoma,365,H40-H42
361,DAP000348,levallorphan,Narcotic depression,"304.9, 311","F19.20, F32"
362,DAP000349,rocuronium,General anesthesia,338,R52
363,DAP000351,tubocurarine,Anesthesia,338,R52
364,DAP000351,tubocurarine,Smoking withdrawl syndrom,292,F17.2
365,DAP000353,pipecuronium,Anesthesia,338,R52
366,DAP000353,pipecuronium,Spasms; Pain,"338,780","R52, G89"
367,DAP000354,vecuronium,Spasms; Pain,"338,780","R52, G89"
368,DAP000355,doxacurium,Spasms; Pain,"338,780","R52, G89"
369,DAP000356,pentazocine,Anesthesia,338,R52
370,DAP000357,sufentanil,Anesthesia,338,R52
371,DAP000358,misoprostol,Medical abortion,779.6,O04
372,DAP000359,alprostadil,Erectile dysfunction,"302.72, 607.84","F52.2, N48.4"
373,DAP000360,dinoprostone,Medical abortion,779.6,O04
374,DAP000361,bumetanide,Edema associated with congestive heart failure,"428.0, 782.3","I50, R60.9"
375,DAP000362,aprepitant,Nausea; Vomiting,"787, 787.0",R11
376,DAP000363,valsartan,Hypertension,"401, 428","I10, I11, I12, I13, I15, I50"
377,DAP000364,irbesartan,Hypertension,"401, 428","I10, I11, I12, I13, I15, I50"
378,DAP000365,dihydrotachysterol,Hypocalcemia; Hypoparathyroidism,"252.0, 275.41","E21, E83.51"
379,DAP000365,dihydrotachysterol,Hypoparathyroidism,252.1,"E20, E89.2, P71.4"
380,DAP000366,methysergide,Migraine headaches,346,G43
381,DAP000367,palonosetron,Nausea; Vomiting,"787, 787.0",R11
382,DAP000368,dolasetron,Nausea; Vomiting,"787, 787.0",R11
383,DAP000369,alosetron,Irritable bowel syndrome,"564.1, 787.91","A09, K58, K59.1"
384,DAP000370,alfuzosin,Benign prostatic hyperplasia,600,N40
385,DAP000371,terazosin,Benign prostatic hyperplasia,600,N40
386,DAP000372,sotalol,Maintenance of normal sinus rhythm,427,I46-I49
387,DAP000373,prochlorperazine,Nausea; Vomiting,"787, 787.0",R11
388,DAP000374,chlorpromazine,Schizophrenia,"295, 710.0","F20, M32"
389,DAP000375,fluphenazine,Psychotic disorders,290-299,F20-F29
390,DAP000376,tolterodine,Urinary incontinence,788.3,"N39.3, N39.4, R32"
391,DAP000377,atropine,Organophosphate poisoning,989.3,T60.0
392,DAP000377,atropine,Poison intoxication,.,T36-T50
393,DAP000378,decamethonium,Muscle Relaxant,.,"N39.3,N39.4,R32"
394,DAP000380,nalbuphine,Pain,"338, 356.0, 356.8,780","G64, G90.0, R52, G89"
395,DAP000381,doxazosin,Hypertension,"401, 428","I10, I11, I12, I13, I15, I50"
396,DAP000382,rituximab,Hematologic malignancies,200-209,C81-C96
397,DAP000382,rituximab,Non-Hodgkin's lymphoma,"200, 202, 202.8","C81-C96, C82-C85"
398,DAP000383,ibritumomab,Non-Hodgkin's lymphoma,"200, 202, 202.8","C81-C96, C82-C85"
399,DAP000384,tositumomab,Non-Hodgkin's lymphoma,"200, 202, 202.8","C81-C96, C82-C85"
400,DAP000385,alemtuzumab,Chronic lymphocytic leukaemia,"204.1, 208.9","C91-C95, C91.1"
401,DAP000385,alemtuzumab,Multiple sclerosis,340,G35
402,DAP000386,palivizumab,Respiratory syncytial virus ,"001-139, 079.6","A00-B99, B97.4"
403,DAP000387,omalizumab,Asthma,493,J45
404,DAP000387,omalizumab,Chronic idiopathic urticaria,708,L50
405,DAP000388,basiliximab,Organ transplant rejection,"279.5, 996","D89.8, T86"
406,DAP000390,gemtuzumab ozogamicin,Acute myeloid leukemia,"205.0, 238.7","C92.0, D46"
407,DAP000391,trastuzumab,Asthma,493,J45
408,DAP000391,trastuzumab,Breast cancer,"174, 175, 217","C50, D24"
409,DAP000392,adalimumab,Rheumatold arthritis,714,M05-M06
410,DAP000394,cetuximab,Colorectal cancer,"153, 154",C18-C21
411,DAP000395,pegfilgrastim,Non-myeloid cancer,140-199,"C00-C75, C7A, C7B"
412,DAP000396,teriparatide,Osteogenesis imperfecta,756.51,Q78.0
413,DAP000397,octreotide,Acromegaly,253,E22.0
414,DAP000398,linezolid,Bacterial infection,"001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104","A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79"
415,DAP000400,amikacin,Bacterial infection,"001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104","A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79"
416,DAP000401,oxytetracycline,Bacterial infection,"001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104","A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79"
417,DAP000402,demeclocycline,Bacterial infection,"001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104","A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79"
418,DAP000403,spectinomycin,Bacterial infection,"001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104","A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79"
419,DAP000404,netilmicin,Bacterial infection,"001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104","A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79"
420,DAP000405,minocycline,Bacterial infection,"001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104","A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79"
421,DAP000406,kanamycin,Bacterial infection,"001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104","A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79"
422,DAP000407,paromomycin,Acute and chronic intestinal amebiasis,6,A06
423,DAP000409,clindamycin,Bacterial infection,"001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104","A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79"
424,DAP000410,clarithromycin,Bacterial infection,"001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104","A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79"
425,DAP000411,troleandomycin,Bacterial infection,"001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104","A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79"
426,DAP000412,droperidol,Nausea; Vomiting,"787, 787.0",R11
427,DAP000413,propericiazine,Psychiatric disorders,290-319,F01-F99
428,DAP000413,propericiazine,Psychotic disorders,290-299,F20-F29
429,DAP000414,vardenafil,Erectile dysfunction,"302.72, 607.84","F52.2, N48.4"
430,DAP000415,alclometasone,Inflammatory diseases,"140-229, 147, 173, 573.3, 710-719","C00-C96, C11, C44, K75.9, M00-M25"
431,DAP000416,beclomethasone,Asthma; Allergic rhinitis,"477, 493","J30, J45"
432,DAP000417,triamcinolone,Allergy,995.3,T78.4
433,DAP000418,flurandrenolide,Inflammatory diseases,"140-229, 147, 173, 573.3, 710-719","C00-C96, C11, C44, K75.9, M00-M25"
434,DAP000421,fluocinonide,Inflammatory diseases,"140-229, 147, 173, 573.3, 710-719","C00-C96, C11, C44, K75.9, M00-M25"
435,DAP000422,paramethasone,Diabetic macular edema,"250, 362.01, 362.07, 362.53, 782.3","E08-E13, E08.3, E09.3, E10.3, E11.3, E13.3, H35.8, R60.9"
436,DAP000422,paramethasone,Inflammatory diseases,"140-229, 147, 173, 573.3, 710-719","C00-C96, C11, C44, K75.9, M00-M25"
437,DAP000423,ciclesonide,Asthma,493,J45
438,DAP000423,ciclesonide,Obstructive airway diseases,"490-492, 494-496","J40-J44, J47"
439,DAP000424,metyrapone,Cushing's disease,255,E24.0
440,DAP000425,loperamide,Acute diarrhea,787.91,"A09, K59.1"
441,DAP000426,rifapentine,Tuberculosis,010-018,A15-A19
442,DAP000427,zopiclone,Insomnia,"307.41, 307.42, 327.0, 780.51, 780.52","F51.0, G47.0"
443,DAP000428,ardeparin,Deep vein thrombosis,"437.6, 453, 453.40, 671.5, 671.9","I80-I82, I80.2"
444,DAP000429,melatonin,Insomnia,"307.41, 307.42, 327.0, 780.51, 780.52","F51.0, G47.0"
445,DAP000429,melatonin,Sleep disorders,"307.4, 327, 780.5","F51, G47"
446,DAP000430,promazine,Psychomotor agitation,308.2,F43.0
447,DAP000431,ertapenem,Bacterial infection,"001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104","A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79"
448,DAP000432,ampicillin,Bacterial infection,"001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104","A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79"
449,DAP000433,ceftazidime,Bacterial infection,"001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104","A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79"
450,DAP000434,loracarbef,Bacterial infection,"001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104","A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79"
451,DAP000435,dicloxacillin,Bacterial infection,"001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104","A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79"
452,DAP000436,cefdinir,Bacterial infection,"001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104","A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79"
453,DAP000437,cephalexin,Bacterial infection,"001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104","A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79"
454,DAP000438,carbenicillin,Bacterial infection,"001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104","A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79"
455,DAP000439,cefixime,Bacterial infection,"001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104","A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79"
456,DAP000440,oxacillin,Bacterial infection,"001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104","A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79"
457,DAP000441,meropenem,Bacterial infection,"001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104","A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79"
458,DAP000442,cefaclor,Bacterial infection,"001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104","A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79"
459,DAP000443,amoxicillin,Bacterial infection,"001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104","A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79"
460,DAP000444,cefditoren,Bacterial infection,"001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104","A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79"
461,DAP000445,cefuroxime,Bacterial infection,"001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104","A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79"
462,DAP000446,cefadroxil,Bacterial infection,"001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104","A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79"
463,DAP000447,cefprozil,Bacterial infection,"001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104","A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79"
464,DAP000448,cefamandole,Bacterial infection,"001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104","A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79"
465,DAP000449,cefazolin,Bacterial infection,"001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104","A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79"
466,DAP000450,cefoperazone,Bacterial infection,"001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104","A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79"
467,DAP000451,cefotetan,Bacterial infection,"001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104","A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79"
468,DAP000452,cefoxitin,Bacterial infection,"001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104","A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79"
469,DAP000453,ceftizoxime,Bacterial infection,"001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104","A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79"
470,DAP000454,cefradine,Bacterial infection,"001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104","A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79"
471,DAP000455,cefepime,Bacterial infection,"001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104","A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79"
472,DAP000456,ceftibuten,Bacterial infection,"001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104","A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79"
473,DAP000457,cefpodoxime,Bacterial infection,"001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104","A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79"
474,DAP000458,ticarcillin,Bacterial infection,"001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104","A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79"
475,DAP000459,imipenem,Bacterial infection,"001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104","A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79"
476,DAP000460,chloramphenicol,Bacterial infection,"001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104","A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79"
477,DAP000462,tazarotene,Psoriasis,696,L40
478,DAP000463,paroxetine,Depression,311,F32
479,DAP000464,deslanoside,Congestive cardiac insufficiency; Arrhythmias; Heart failure,"427, 428","I47-I49, I50"
480,DAP000464,deslanoside,Congestive heart failure,"428, 428.0",I50
481,DAP000465,ouabain,Atrial fibrillation; Heart failure,"427.31, 428.0","I48, I50"
482,DAP000466,ciclopirox,Fungal infection,110-118,B35-B49
483,DAP000467,aluminium,Hyperhidrosis,780.8,R61
484,DAP000468,almitrine,Chronic obstructive pulmonary disease,"490-492, 494-496","J40-J44, J47"
485,DAP000469,ridogrel,Acute myocardial infarction,410,I21-I22
486,DAP000471,metyrosine,Pheochromocytoma,"194.0, 227.0, 255.6","C74.1, D35.0"
487,DAP000472,hydromorphone,Pain,"338, 356.0, 356.8,780","G64, G90.0, R52, G89"
488,DAP000473,abciximab,Angina,413,I20
489,DAP000474,adenosine triphosphate,Dietary shortage,260-269,E40-E46
490,DAP000475,minaprine,Cerebral infarction,.,I63
491,DAP000475,minaprine,Depression,311,F32
492,DAP000476,thioridazine,Schizophrenia,"295, 710.0","F20, M32"
493,DAP000477,tolazoline,Peripheral vasoconstriction,443,I73
494,DAP000477,tolazoline,Pulmonary hypertension,416,"I27.0, I27.2"
495,DAP000478,phenoxybenzamine,Hypertension,"401, 428","I10, I11, I12, I13, I15, I50"
496,DAP000479,cryptenamine,Hypertension,"401, 428","I10, I11, I12, I13, I15, I50"
497,DAP000480,metipranolol,Angina,413,I20
498,DAP000480,metipranolol,Open-angle glaucoma; Ocular hypertension,"365, 365.04","H40-H42, H40.0"
499,DAP000481,metoprolol,Angina,413,I20
500,DAP000481,metoprolol,Hypertension,"401, 428","I10, I11, I12, I13, I15, I50"
501,DAP000482,atenolol,Hypertension,"401, 428","I10, I11, I12, I13, I15, I50"
502,DAP000483,bisoprolol,Hypertension,"401, 428","I10, I11, I12, I13, I15, I50"
503,DAP000484,acebutolol,Angina,413,I20
504,DAP000484,acebutolol,Hypertension,"401, 428","I10, I11, I12, I13, I15, I50"
505,DAP000485,oxprenolol,Angina,413,I20
506,DAP000485,oxprenolol,Hypertension,"401, 428","I10, I11, I12, I13, I15, I50"
507,DAP000486,nicardipine,High blood pressure; Angina,"401, 413","I10, I11, I12, I13, I15, I20"
508,DAP000487,felodipine,Hypertension,"401, 428","I10, I11, I12, I13, I15, I50"
509,DAP000488,penciclovir,HIV infections,"001-139, 042","A00-B99, B20"
510,DAP000488,penciclovir,Viral infections,"054.0, 054.1, 054.2, 054.3, 075, 771.2, 052, 053","B01, B02, A60, B00, B27, G05.1, P35.2"
511,DAP000489,famciclovir,Viral infections,"054.0, 054.1, 054.2, 054.3, 075, 771.2, 052, 053","B01, B02, A60, B00, B27, G05.1, P35.2"
512,DAP000490,diphenhydramine,Vertigo meniere's disease,"386.0, 438.85, 780.4","H81, H81.0, R42"
513,DAP000491,quinine,Malaria,84,B50-B54
514,DAP000492,pirenzepine,Peptic ulcer disease,531-534,K25-K27
515,DAP000494,duloxetine,Depression,311,F32
516,DAP000495,dofetilide,Maintenance of normal sinus rhythm,427,I46-I49
517,DAP000496,amiodarone,Tachyarrhythmias,"427, 785.0","I47-I49, R00.0"
518,DAP000497,propafenone,Tachyarrhythmias,"427, 785.0","I47-I49, R00.0"
519,DAP000498,indapamide,Hypertension,"401, 428","I10, I11, I12, I13, I15, I50"
520,DAP000499,dantrolene,Malignant hyperthermia,995.86,T88.3
521,DAP000500,zonisamide,Epilepsy,"290-319, 345","F01-F99, G40"
522,DAP000501,phenacemide,Epilepsy,"290-319, 345","F01-F99, G40"
523,DAP000502,levetiracetam,Epilepsy,"290-319, 345","F01-F99, G40"
524,DAP000503,indecainide,Dysrhythmias,427,I47-I49
525,DAP000504,disopyramide,Urinary incontinence,788.3,"N39.3, N39.4, R32"
526,DAP000504,disopyramide,Ventricular arrhythmias,427.1,I47.2
527,DAP000505,mexiletine,Ventricular arrhythmias,427.1,I47.2
528,DAP000506,hexylcaine,Anesthesia,338,R52
529,DAP000507,dibucaine,Anesthesia,338,R52
530,DAP000507,dibucaine,Hemorrhoids,.,I84
531,DAP000508,mephenytoin,Epilepsy,"290-319, 345","F01-F99, G40"
532,DAP000509,dyclonine,Anesthesia,338,R52
533,DAP000509,dyclonine,Pain,"338, 356.0, 356.8,780","G64, G90.0, R52, G89"
534,DAP000510,moricizine,Heart arrhythmia,.,I47-I49
535,DAP000510,moricizine,Irregular heartbeats,427,I47-I49
536,DAP000511,prilocaine,Anesthesia,338,R52
537,DAP000511,prilocaine,Pain,"338, 356.0, 356.8,780","G64, G90.0, R52, G89"
538,DAP000512,ethotoin,Complex partial seizures,345.4,G40.2
539,DAP000513,proparacaine,Anesthesia,338,R52
540,DAP000514,benzonatate,Cough,786.2,R05
541,DAP000515,quinidine,Ventricular arrhythmias,427.1,I47.2
542,DAP000516,procainamide,Ventricular arrhythmias,427.1,I47.2
543,DAP000517,tocainide,Ventricular arrhythmias,427.1,I47.2
544,DAP000518,flecainide,Tachyarrhythmias,"427, 785.0","I47-I49, R00.0"
545,DAP000519,encainide,Heart arrhythmia,.,I47-I49
546,DAP000519,encainide,Irregular heartbeats,427,I47-I49
547,DAP000520,fosphenytoin,Seizures,"345.9, 780.3","G40, P90, R56"
548,DAP000521,chlorthalidone,Edema,.,R60.9
549,DAP000521,chlorthalidone,Hypertension,"401, 428","I10, I11, I12, I13, I15, I50"
550,DAP000522,gliclazide,Diabetes mellitus,"253.5, 588.1","E23.2, N25.1"
551,DAP000523,losartan,Hypertension,"401, 428","I10, I11, I12, I13, I15, I50"
552,DAP000524,candesartan,Hypertension,"401, 428","I10, I11, I12, I13, I15, I50"
553,DAP000525,bepridil,Chronic stable angina,413,I20
554,DAP000526,ethosuximide,Epilepsy,"290-319, 345","F01-F99, G40"
555,DAP000527,riluzole,Amyotrophic lateral sclerosis,"335.20, 434.91","G12.2, I61-I63"
556,DAP000528,oxcarbazepine,Epilepsy,"290-319, 345","F01-F99, G40"
557,DAP000529,nifedipine,Angina pectoris,413,I20
558,DAP000530,metoclopramide,Nausea; Vomiting,"787, 787.0",R11
